date,oven_id,layer_id,accumulation_hour
2022-01-09,1B0,1,5599
2022-01-29,1B0,1,5994
2022-02-19,1B0,1,6435
2022-03-04,1B0,1,6641
2022-03-26,1B0,1,7085
2022-04-01,1B0,1,7203
2022-04-22,1B0,1,7559
2022-05-02,1B0,1,7703
2022-05-04,1B0,1,7731
2022-05-06,1B0,1,7775
2022-05-11,1B0,1,7872
2022-05-20,1B0,1,8038
2022-05-29,1B0,1,8206
2022-06-02,1B0,1,8298
2022-06-08,1B0,1,8407
2022-06-30,1B0,1,8723
2022-07-04,1B0,1,8742
2022-07-14,1B0,1,8879
2022-07-30,1B0,1,9093
2022-08-15,1B0,1,9224
2022-08-24,1B0,1,9295
2022-09-01,1B0,1,9367
2022-01-14,1B0,2,4179
2022-02-19,1B0,2,4919
2022-03-28,1B0,2,5727
2022-04-24,1B0,2,6203
2022-04-29,1B0,2,6293
2022-05-04,1B0,2,6388
2022-05-09,1B0,2,6486
2022-05-13,1B0,2,6554
2022-05-24,1B0,2,6772
2022-06-01,1B0,2,6934
2022-06-02,1B0,2,6962
2022-06-06,1B0,2,7012
2022-06-16,1B0,2,7212
2022-06-23,1B0,2,7335
2022-06-28,1B0,2,7419
2022-06-30,1B0,2,7444
2022-07-07,1B0,2,7964
2022-07-30,1B0,2,7822
2022-08-15,1B0,2,7968
2022-09-01,1B0,2,8140
2022-01-17,1B0,3,5848
2022-01-25,1B0,3,6000
2022-02-17,1B0,3,6421
2022-02-27,1B0,3,6615
2022-03-10,1B0,3,6811
2022-03-23,1B0,3,7021
2022-04-11,1B0,3,7393
2022-04-24,1B0,3,7599
2022-05-04,1B0,3,7792
2022-05-06,1B0,3,7817
2022-05-11,1B0,3,7886
2022-05-23,1B0,3,8117
2022-05-29,1B0,3,8223
2022-06-02,1B0,3,8312
2022-06-11,1B0,3,8502
2022-06-20,1B0,3,8642
2022-06-30,1B0,3,8815
2022-07-04,1B0,3,8820
2022-07-18,1B0,3,7003
2022-07-30,1B0,3,9148
2022-08-06,1B0,3,9172
2022-08-15,1B0,3,9261
2022-09-01,1B0,3,9430
2022-01-04,1B0,4,4822
2022-03-04,1B0,4,5959
2022-03-10,1B0,4,6045
2022-03-15,1B0,4,6148
2022-03-21,1B0,4,6222
2022-04-01,1B0,4,6445
2022-04-14,1B0,4,6632
2022-04-24,1B0,4,6829
2022-04-26,1B0,4,6846
2022-05-04,1B0,4,6942
2022-05-13,1B0,4,7029
2022-05-15,1B0,4,7064
2022-05-25,1B0,4,7223
2022-05-28,1B0,4,7260
2022-06-02,1B0,4,7367
2022-06-07,1B0,4,7450
2022-06-09,1B0,4,7487
2022-06-16,1B0,4,7606
2022-06-25,1B0,4,7755
2022-06-30,1B0,4,7820
2022-07-05,1B0,4,7852
2022-07-12,1B0,4,7935
2022-07-30,1B0,4,8136
2022-08-06,1B0,4,8136
2022-08-15,1B0,4,8264
2022-09-01,1B0,4,8425
2021-12-27,1B0,5,5116
2022-01-09,1B0,5,5394
2022-02-10,1B0,5,5983
2022-02-27,1B0,5,6171
2022-03-21,1B0,5,6573
2022-04-03,1B0,5,6824
2022-04-14,1B0,5,6996
2022-05-02,1B0,5,7333
2022-05-04,1B0,5,7361
2022-05-06,1B0,5,7392
2022-06-02,1B0,5,7931
2022-06-04,1B0,5,7941
2022-06-14,1B0,5,8127
2022-06-18,1B0,5,8163
2022-06-20,1B0,5,8221
2022-06-28,1B0,5,8345
2022-06-30,1B0,5,8369
2022-07-08,1B0,5,8462
2022-07-30,1B0,5,8709
2022-08-15,1B0,5,8872
2022-09-01,1B0,5,9027
2022-01-09,1B0,6,5284
2022-03-04,1B0,6,6411
2022-04-22,1B0,6,7399
2022-04-29,1B0,6,7534
