date,oven_id,layer_id,accumulation_hour
2022-02-19,2C0,1,4293
2022-03-04,2C0,1,4514
2022-04-07,2C0,1,5117
2022-04-22,2C0,1,5378
2022-05-04,2C0,1,5607
2022-05-28,2C0,1,6072
2022-06-02,2C0,1,6165
2022-06-17,2C0,1,6438
2022-06-30,2C0,1,6690
2022-07-06,2C0,1,6698
2022-07-30,2C0,1,7033
2022-08-03,2C0,1,7029
2022-08-08,2C0,1,7076
2022-08-15,2C0,1,7204
2022-08-30,2C0,1,7402
2022-09-01,2C0,1,7418
2022-09-12,2C0,1,7604
2022-09-20,2C0,1,7728
2022-09-28,2C0,1,7879
2022-09-30,2C0,1,7899
2022-10-20,2C0,1,8075
2022-10-31,2C0,1,8254
2022-11-21,2C0,1,8566
2022-11-28,2C0,1,8680
2022-12-04,2C0,1,8758
2022-12-11,2C0,1,8871
2022-12-28,2C0,1,0
2023-02-06,2C0,1,515
2022-04-03,2C0,2,4212
2022-05-04,2C0,2,4763
2022-06-02,2C0,2,5359
2022-06-11,2C0,2,5531
2022-06-30,2C0,2,5893
2022-07-12,2C0,2,6044
2022-07-30,2C0,2,6353
2022-08-15,2C0,2,6549
2022-08-26,2C0,2,6680
2022-09-01,2C0,2,6765
2022-09-07,2C0,2,6871
2022-09-14,2C0,2,6965
2022-09-28,2C0,2,7208
2022-10-28,2C0,2,7652
2022-10-31,2C0,2,7741
2022-11-07,2C0,2,7834
2022-11-28,2C0,2,8215
2022-12-08,2C0,2,8368
2022-12-17,2C0,2,8517
2022-12-26,2C0,2,8636
2022-12-28,2C0,2,8701
2023-01-11,2C0,2,8954
2023-01-27,2C0,2,9196
2023-01-31,2C0,2,9218
2023-02-06,2C0,2,9351
2022-01-17,2C0,3,3651
2022-05-04,2C0,3,5646
2022-06-02,2C0,3,6249
2022-06-20,2C0,3,6575
2022-06-30,2C0,3,6761
2022-07-30,2C0,3,7239
2022-08-15,2C0,3,7429
2022-08-19,2C0,3,7434
2022-09-01,2C0,3,7621
2022-09-28,2C0,3,8091
2022-10-31,2C0,3,8609
2022-11-02,2C0,3,8609
2022-11-28,2C0,3,9064
2022-12-11,2C0,3,9281
2022-12-17,2C0,3,9346
2022-12-28,2C0,3,0
2023-02-06,2C0,3,512
2022-05-04,2C0,4,4337
2022-06-02,2C0,4,4926
2022-06-30,2C0,4,5473
2022-07-30,2C0,4,5954
2022-08-15,2C0,4,6144
2022-08-19,2C0,4,6147
2022-09-01,2C0,4,6327
2022-09-28,2C0,4,6798
2022-10-31,2C0,4,7275
2022-11-28,2C0,4,7746
2022-12-04,2C0,4,7746
2022-12-21,2C0,4,8030
2022-12-28,2C0,4,8200
2023-01-31,2C0,4,8825
2023-02-06,2C0,4,8960
2022-04-01,2C0,5,5000
2022-05-04,2C0,5,5592
2022-05-13,2C0,5,5772
2022-06-02,2C0,5,6162
2022-06-30,2C0,5,6711
2022-07-30,2C0,5,7184
2022-08-03,2C0,5,7163
2022-08-13,2C0,5,7310
2022-08-15,2C0,5,7356
2022-08-29,2C0,5,7504
2022-09-01,2C0,5,7534
2022-09-23,2C0,5,7910
2022-09-28,2C0,5,7995
2022-10-27,2C0,5,8313
2022-10-31,2C0,5,8420
2022-11-28,2C0,5,8676
2022-12-28,2C0,5,8676
2023-01-12,2C0,5,8676
2023-02-06,2C0,5,9162
2022-04-22,2C0,6,5192
2022-05-04,2C0,6,5424
2022-05-31,2C0,6,5977
2022-06-02,2C0,6,6017
2022-06-30,2C0,6,6564
2022-07-30,2C0,6,7018
2022-08-03,2C0,6,7000
2022-08-15,2C0,6,7206
2022-08-29,2C0,6,7367
2022-09-01,2C0,6,7397
2022-09-28,2C0,6,7861
2022-10-20,2C0,6,8096
2022-10-31,2C0,6,8263
2022-11-04,2C0,6,8301
2022-11-21,2C0,6,8521
2022-11-28,2C0,6,8664
2022-12-09,2C0,6,8831
2022-12-21,2C0,6,9016
2022-12-26,2C0,6,9118
2022-12-28,2C0,6,9185
2023-01-21,2C0,6,9636
2023-02-06,2C0,6,22
2022-05-04,2C0,7,5594
2022-06-02,2C0,7,6190
2022-06-30,2C0,7,6737
2022-07-30,2C0,7,7200
2022-08-15,2C0,7,7379
2022-08-30,2C0,7,7561
2022-09-01,2C0,7,7573
2022-09-28,2C0,7,8035
2022-10-31,2C0,7,8516
2022-11-07,2C0,7,8598
2022-11-28,2C0,7,8923
2022-12-22,2C0,7,9316
2022-12-28,2C0,7,9467
2023-02-04,2C0,7,10146
2023-02-06,2C0,7,10206
2022-03-15,2C0,8,4622
2022-04-29,2C0,8,5391
2022-05-04,2C0,8,5475
2022-05-18,2C0,8,5764
2022-05-24,2C0,8,5878
2022-06-02,2C0,8,6050
2022-06-30,2C0,8,6595
2022-07-06,2C0,8,6647
2022-07-30,2C0,8,7034
2022-08-05,2C0,8,7042
2022-08-15,2C0,8,7186
2022-09-01,2C0,8,7386
2022-09-14,2C0,8,7582
2022-09-23,2C0,8,7753
2022-09-28,2C0,8,7807
2022-10-20,2C0,8,8158
2022-10-31,2C0,8,8326
2022-11-16,2C0,8,8521
2022-11-28,2C0,8,8758
2022-12-04,2C0,8,8831
2022-12-19,2C0,8,9054
2022-12-28,2C0,8,9262
2022-12-30,2C0,8,9277
2023-01-16,2C0,8,9592
2023-01-18,2C0,8,9600
2023-01-21,2C0,8,9636
2023-01-24,2C0,8,9667
2023-02-06,2C0,8,9927
2022-05-04,2C0,9,5562
2022-06-02,2C0,9,6156
2022-06-30,2C0,9,6649
2022-07-07,2C0,9,6649
2022-07-30,2C0,9,7019
2022-08-15,2C0,9,7194
2022-09-01,2C0,9,7394
2022-09-28,2C0,9,7840
2022-09-30,2C0,9,7843
2022-10-19,2C0,9,8044
2022-10-31,2C0,9,8237
2022-11-28,2C0,9,8661
2022-12-28,2C0,9,9214
2023-01-07,2C0,9,9346
2023-01-31,2C0,9,9795
2023-02-06,2C0,9,9930
2022-05-04,2C0,10,5561
2022-06-01,2C0,10,6113
