date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2021-12-27,1B0,5,26_49,5116,2
2022-01-04,1B0,4,31,4822,1
2022-01-04,1B0,7,59_89_109,5011,3
2022-01-04,1B0,11,32_81,5226,2
2022-01-04,1B0,12,47_87_110,5129,3
2022-01-09,1B0,1,84_85_87,5599,3
2022-01-09,1B0,5,24_96_102,5394,3
2022-01-09,1B0,6,79_110,5284,2
2022-01-09,1B0,18,47_50_120,5007,3
2022-01-14,1B0,2,38_116,4179,2
2022-01-14,1B0,9,72,5235,1
2022-01-17,1B0,3,56_98_102,5848,3
2022-01-17,1B0,17,42_47,5334,2
2022-01-25,1B0,3,34_77_85,6000,3
2022-01-25,1B0,10,23_28_36,5628,3
2022-01-29,1B0,1,23_26_120,5994,3
2022-01-29,1B0,11,7_45_46,5722,3
2022-02-03,1B0,8,100_113_117,5940,3
2022-02-03,1B0,13,26_58_106,6742,3
2022-02-03,1B0,14,60_109,5620,2
2022-02-03,1B0,16,55_21_62,5654,3
2022-02-10,1B0,5,45_85,5983,2
2022-02-17,1B0,3,70_110,6421,2
2022-02-19,1B0,1,98_102_105,6435,3
2022-02-19,1B0,2,51,4919,1
2022-02-19,1B0,12,64_77_79,6050,3
2022-02-27,1B0,3,64_68_118,6615,3
2022-02-27,1B0,5,85_88_108,6171,3
2022-02-27,1B0,7,50_81_100,6042,3
2022-02-27,1B0,8,12_56_111,6344,3
2022-03-04,1B0,1,10_21,6641,2
2022-03-04,1B0,4,84,5959,1
2022-03-04,1B0,6,10_30_89_105,6411,4
2022-03-04,1B0,11,36_48_86,6403,3
2022-03-04,1B0,18,2_13_52,6076,3
2022-03-10,1B0,3,111 _114,6811,2
2022-03-10,1B0,4,65,6045,1
2022-03-10,1B0,15,16_54_76,6323,3
2022-03-10,1B0,17,13_45_100,6353,3
2022-03-15,1B0,4,77_78,6148,2
2022-03-15,1B0,13,10_49_83,6557,3
2022-03-21,1B0,4,21,6222,1
2022-03-21,1B0,5,34_63_95,6573,3
2022-03-21,1B0,11,12_52_67,6758,3
2022-03-23,1B0,3,19_66_83_101,7021,4
2022-03-23,1B0,14,28_78_93,6612,3
2022-03-26,1B0,1,57_74,7085,2
2022-03-26,1B0,11,56_109_106,6842,3
2022-03-26,1B0,12,54_17,6771,2
2022-03-26,1B0,16,27_108_109,6661,3
2022-03-28,1B0,2,63_93,5727,2
2022-03-28,1B0,18,34_78_90,6581,3
2022-04-01,1B0,1,7_36_51,7203,3
2022-04-01,1B0,4,12_28,6445,2
2022-04-03,1B0,5,72_113,6824,2
2022-04-03,1B0,7,40_52_115,6782,3
2022-04-07,1B0,8,19_15_115,7096,3
2022-04-07,1B0,15,14_38_56,6889,3
2022-04-09,1B0,11,13_114_115,7069,3
2022-04-09,1B0,14,40_75_110,6897,3
2022-04-11,1B0,3,60_79_98,7393,3
2022-04-11,1B0,9,15_39,7002,2
2022-04-14,1B0,4,10_82,6632,2
2022-04-14,1B0,5,39_89,6996,2
2022-04-16,1B0,12,100_51_42,7108,3
2022-04-18,1B0,8,8_41_58,7270,3
2022-04-18,1B0,14,24_67_75,7025,3
2022-04-20,1B0,9,62_54,7147,2
2022-04-20,1B0,15,47_87_107,7116,3
2022-04-22,1B0,1,55_64,7559,2
2022-04-22,1B0,6,19_30_43,7399,3
2022-04-22,1B0,9,1_23,7183,2
2022-04-22,1B0,16,43_83_79,7155,3
2022-04-22,1B0,18,56_66_75,7018,3
2022-04-24,1B0,2,15_95_77,6203,3
2022-04-24,1B0,3,43_6_67,7599,3
2022-04-24,1B0,4,80,6829,1
2022-04-24,1B0,17,58_17_101,7220,3
2022-04-26,1B0,4,112,6846,1
2022-04-26,1B0,11,20_55_60,7340,3
2022-04-26,1B0,13,36_17_66,7332,3
2022-04-28,1B0,10,60_75_93,7488,3
2022-04-28,1B0,15,15_74_104,7255,3
2022-04-29,1B0,2,15_89_113,6293,3
2022-04-29,1B0,6,27_32_63_117,7534,4
2022-04-29,1B0,8,5_53_85,7469,3
2022-05-02,1B0,1,45_71,7703,2
2022-05-02,1B0,5,68_105,7333,2
2022-05-02,1B0,12,34_40,7417,2
2022-05-02,1B0,16,81_96_110,7330,3
2022-05-04,1B0,10,15_37_117,7565,3
2022-05-04,1B0,15,55_77_98,7350,3
