date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2021-12-27,1C0,3,45_91,4699,2
2022-01-04,1C0,1,9_81,4878,2
2022-01-09,1C0,11,98_97,4598,2
2022-01-14,1C0,5,27_45,4973,2
2022-01-14,1C0,12,46_80,4930,2
2022-01-17,1C0,2,67_72,5420,2
2022-01-17,1C0,3,81_120,5095,2
2022-01-25,1C0,1,12,5279,1
2022-01-29,1C0,1,25,5312,1
2022-01-29,1C0,6,47_121,5534,2
2022-01-29,1C0,8,11_102,5380,2
2022-01-29,1C0,19,69,5061,1
2022-02-03,1C0,1,41_74,5414,2
2022-02-03,1C0,2,59_26,5758,2
2022-02-03,1C0,4,30_33,5685,2
2022-02-10,1C0,1,15,5497,1
2022-02-10,1C0,2,108_47,5861,2
2022-02-10,1C0,5,58_105,5403,2
2022-02-10,1C0,9,68_121,5484,2
2022-02-10,1C0,19,65,5280,1
2022-02-11,1C0,10,103_100,5457,2
2022-02-17,1C0,1,6_19,5520,2
2022-02-17,1C0,4,78_98,5949,2
2022-02-17,1C0,6,49_89,5815,2
2022-02-17,1C0,7,25_92,5848,2
2022-02-17,1C0,11,39_89,5374,2
2022-02-27,1C0,1,80_116,5601,2
2022-03-04,1C0,4,14_24,6177,2
2022-03-04,1C0,18,107_116,5731,2
2022-03-07,1C0,4,8_96,6214,2
2022-03-07,1C0,7,27_65,6198,2
2022-03-07,1C0,11,6_87,5722,2
2022-03-15,1C0,1,42_93,6532,2
2022-03-15,1C0,2,85_92,5891,2
2022-03-21,1C0,6,50_51,6456,2
2022-03-21,1C0,9,47_92,6264,2
2022-03-23,1C0,1,105,6052,1
2022-03-26,1C0,1,54_121,6054,2
2022-03-26,1C0,4,76_83,6622,2
2022-03-26,1C0,5,121_98,6216,2
2022-03-26,1C0,12,77_81,6329,2
2022-03-28,1C0,3,47_89,6850,2
2022-03-28,1C0,6,117_106,6610,2
2022-03-28,1C0,11,15_111,6174,2
2022-03-31,1C0,1,55_57,6157,2
2022-03-31,1C0,8,84_96,6627,2
2022-04-03,1C0,1,68_76,6194,2
2022-04-03,1C0,10,41_98,6492,2
2022-04-03,1C0,13,42,6497,1
2022-04-09,1C0,14,21_58,6520,2
2022-04-11,1C0,6,28_38,6828,2
2022-04-11,1C0,8,6_49,6788,2
2022-04-16,1C0,5,119_106,7178,2
2022-04-16,1C0,7,76_4,6962,2
2022-04-18,1C0,1,17_104,6432,2
2022-04-18,1C0,3,41_79,6874,2
2022-04-18,1C0,4,81_119,715,2
2022-04-18,1C0,11,13_116,6532,2
2022-04-18,1C0,13,89,6716,1
2022-04-18,1C0,15,81_98,6629,2
2022-04-20,1C0,1,75_36,6467,2
2022-04-20,1C0,2,83_113,7184,2
2022-04-22,1C0,1,72_89,6479,2
2022-04-22,1C0,18,49_113,6604,2
2022-04-24,1C0,2,70_76,7253,2
2022-04-24,1C0,17,6_25,6731,2
2022-04-26,1C0,14,66_26,6844,2
2022-04-28,1C0,2,100_114,7317,2
2022-04-28,1C0,6,69_76,7075,2
2022-04-28,1C0,10,48_89,6885,2
2022-04-29,1C0,11,38_24,6713,2
2022-05-02,1C0,1,109,6633,1
2022-05-02,1C0,3,15_117,7129,2
2022-05-02,1C0,4,43_74,7261,2
2022-05-02,1C0,7,30_53,7225,2
2022-05-02,1C0,8,68_97,7107,2
2022-05-02,1C0,10,67,6942,1
2022-05-04,1C0,11,10_23,6815,2
2022-05-04,1C0,12,20_37,7035,2
2022-05-06,1C0,1,34_50,6691,2
2022-05-06,1C0,3,98_104,7483,2
2022-05-06,1C0,5,72_104,7540,2
2022-05-06,1C0,6,73_107,7236,2
2022-05-09,1C0,2,42_74,7506,2
2022-05-09,1C0,10,100_117,7009,2
2022-05-11,1C0,4,26_92,7425,2
2022-05-11,1C0,15,8_60,7029,2
2022-05-13,1C0,5,87,7639,1
2022-05-13,1C0,11,12_21,6956,2
2022-05-13,1C0,12,34_98,7174,2
2022-05-13,1C0,14,14_19,7145,2
2022-05-15,1C0,13,12,7212,1
2022-05-15,1C0,14,51,7180,1
2022-05-16,1C0,1,77_92,6868,2
2022-05-16,1C0,2,87_102,7637,2
2022-05-16,1C0,13,91,7226,1
2022-05-17,1C0,16,102_117,7229,2
2022-05-18,1C0,3,6_117,7428,2
2022-05-18,1C0,13,100,7231,1
2022-05-19,1C0,1,30,6916,1
2022-05-19,1C0,11,21_117,7070,2
2022-05-19,1C0,18,4_24,7099,2
2022-05-19,1C0,19,12,7080,1
2022-05-21,1C0,1,28_79,6951,2
2022-05-21,1C0,4,45_82,7616,2
2022-05-21,1C0,5,41,7797,1
2022-05-21,1C0,6,6_66,7509,2
2022-05-21,1C0,15,65,7208,1
2022-05-23,1C0,3,26_36,7504,2
2022-05-23,1C0,5,63_68,7836,2
2022-05-23,1C0,8,119,7466,1
2022-05-23,1C0,17,26_66,7253,2
2022-05-24,1C0,6,110_116,7556,2
2022-05-25,1C0,1,10_13,7015,2
2022-05-25,1C0,4,20_25,7690,2
2022-05-25,1C0,8,78,7499,1
