date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2021-12-27,1D0,14,64,3241,1
2022-01-04,1D0,11,10_38,4218,2
2022-01-04,1D0,12,19_46,3672,2
2022-01-04,1D0,19,21_24,4141,2
2022-01-09,1D0,7,12_82,4536,2
2022-01-09,1D0,11,12_13,4316,2
2022-01-09,1D0,12,90_97,4243,2
2022-01-09,1D0,14,72_54,4184,2
2022-01-14,1D0,2,68,4862,1
2022-01-14,1D0,9,49_70,4548,2
2022-01-14,1D0,12,45,4371,1
2022-01-14,1D0,16,76_89,4023,2
2022-01-17,1D0,13,23_121,4377,2
2022-01-17,1D0,15,1_111,4270,2
2022-01-29,1D0,1,3_104,4820,2
2022-01-29,1D0,4,102_106,5086,2
2022-01-29,1D0,5,47,4982,1
2022-01-29,1D0,13,88,4539,1
2022-02-03,1D0,1,42_102,4926,2
2022-02-03,1D0,3,25_36_39,5182,3
2022-02-03,1D0,8,12,4480,1
2022-02-03,1D0,18,95_96,4427,2
2022-02-03,1D0,19,36_39_89,4202,3
2022-02-10,1D0,1,81,5039,1
2022-02-10,1D0,6,14_117,5104,2
2022-02-10,1D0,9,24_51,5041,2
2022-02-11,1D0,5,45_120,5231,2
2022-02-17,1D0,1,94,5174,1
2022-02-17,1D0,10,96_49,5098,2
2022-02-17,1D0,11,15_109,5037,2
2022-02-17,1D0,12,7_100,4986,2
2022-02-17,1D0,14,46_87,4859,2
2022-02-27,1D0,4,36_113,5562,2
2022-02-27,1D0,12,41_89,5158,2
2022-03-07,1D0,12,17_47,5289,2
2022-03-07,1D0,18,58_99,5027,2
2022-03-10,1D0,2,6_94,5930,2
2022-03-10,1D0,6,2_100,5609,2
2022-03-21,1D0,16,53_74,5290,2
2022-03-21,1D0,17,34_36,5299,2
2022-03-23,1D0,1,21_68,5731,2
2022-03-23,1D0,13,15_86,5599,2
2022-03-26,1D0,2,37_117,6251,2
2022-03-28,1D0,8,50,5420,1
2022-03-31,1D0,1,49_50_104,5894,3
2022-04-03,1D0,1,15_30,5921,2
2022-04-07,1D0,8,48,5544,1
2022-04-09,1D0,9,24_25,6189,2
2022-04-11,1D0,5,79_80,6364,2
2022-04-11,1D0,17,45_89,5687,2
2022-04-14,1D0,17,76_78,5713,2
2022-04-16,1D0,1,77_113,6110,2
2022-04-18,1D0,2,4_32_81,6622,3
2022-04-18,1D0,12,98_113_121,6060,3
2022-04-22,1D0,13,72_77_100,6097,3
2022-04-24,1D0,6,22_25_113,6440,3
2022-04-26,1D0,7,110_111_120,6594,3
2022-04-29,1D0,2,98_102_114,6784,3
2022-04-29,1D0,17,110,5938,1
2022-05-02,1D0,10,89_94_109,6448,3
