date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,anomaly_total_number
2021-12-27,1E0,1,96,4138,1
2021-12-27,1E0,8,51,3818,1
2022-01-09,1E0,11,47_91,3646,2
2022-01-17,1E0,2,83,4378,1
2022-01-17,1E0,16,100,3636,1
2022-01-25,1E0,4,104_107,4342,2
2022-01-25,1E0,13,76_90,3862,2
2022-01-25,1E0,16,37,3679,1
2022-02-10,1E0,18,33_103_106,3909,3
2022-02-11,1E0,11,32,4279,1
2022-02-17,1E0,13,106,4239,1
2022-02-17,1E0,15,15,3751,1
2022-02-17,1E0,16,21_30,4030,2
2022-02-19,1E0,16,39,4058,1
2022-02-27,1E0,1,55_82_85,5118,3
2022-02-27,1E0,4,50_102,4899,2
2022-02-27,1E0,8,45_104,4721,2
2022-03-04,1E0,12,94_108,4659,2
2022-03-04,1E0,19,23_94,4398,2
2022-03-07,1E0,14,21_55,4577,2
2022-03-10,1E0,16,92,4424,1
2022-03-10,1E0,18,35_87,4412,2
2022-03-23,1E0,2,115,5673,1
2022-03-23,1E0,8,47_106,5209,2
2022-03-23,1E0,16,98,4664,1
2022-03-28,1E0,6,74_100,5454,2
2022-03-28,1E0,16,70,4763,1
2022-03-28,1E0,15,49,5684,1
2022-03-31,1E0,1,12_108,5779,2
2022-03-31,1E0,2,120,5827,1
2022-04-01,1E0,16,47_110,4821,2
2022-04-09,1E0,16,86,4929,1
2022-04-09,1E0,17,74_89,5166,2
2022-04-09,1E0,19,21_87,5085,2
2022-04-11,1E0,3,106_111,5900,2
2022-04-11,1E0,12,45,5366,1
2022-04-16,1E0,4,6_19,5754,2
2022-04-16,1E0,6,41_68,5750,2
2022-04-16,1E0,9,38,5644,1
2022-04-16,1E0,16,53,4980,1
2022-04-18,1E0,1,47_60,6045,2
2022-04-18,1E0,11,62_83,5515,2
2022-04-18,1E0,16,46_48,5014,2
2022-04-20,1E0,5,26_53,5997,2
2022-04-20,1E0,16,23_21,5022,2
2022-04-20,1E0,19,101_106,5225,2
2022-04-22,1E0,13,54_108,5418,2
2022-04-24,1E0,14,62_23,5443,2
2022-04-24,1E0,18,14_19,5212,2
2022-04-28,1E0,12,47_121,5586,2
2022-05-04,1E0,14,21_82,5595,2
2022-05-11,1E0,1,10_45,6455,2
2022-05-11,1E0,2,58_83,6514,2
2022-05-11,1E0,11,75_85,5904,2
2022-05-11,1E0,13,85,5714,1
2022-05-11,1E0,16,45_112,5342,2
2022-05-13,1E0,6,38_94,6212,2
2022-05-13,1E0,8,23_83,6081,2
2022-05-13,1E0,12,113,5848,1
2022-05-13,1E0,16,24_45,5368,2
2022-05-16,1E0,14,6_8_41,5785,3
2022-05-19,1E0,13,21_49,5841,2
2022-05-20,1E0,1,15_40_46,6600,3
2022-05-21,1E0,1,41,6600,1
2022-05-23,1E0,7,56,6413,1
2022-05-25,1E0,7,15_100,6431,2
2022-05-25,1E0,14,53_102,5925,2
2022-05-25,1E0,18,53_106,5714,2
2022-05-26,1E0,1,38_51,6685,2
2022-05-28,1E0,13,17,5973,1
2022-05-28,1E0,15,40_103,5517,2
2022-05-29,1E0,1,13_57,6729,2
2022-05-29,1E0,3,85_109,6736,2
2022-05-29,1E0,5,19_96_121,6673,3
2022-05-29,1E0,12,100,6117,1
2022-05-30,1E0,3,92_113,6755,2
2022-05-30,1E0,13,102,6005,1
2022-06-01,1E0,12,55_85,6160,2
2022-06-01,1E0,15,42_102,5574,2
2022-06-02,1E0,1,14_17,6798,2
2022-06-02,1E0,7,45_110,6571,2
2022-06-04,1E0,2,98,6950,1
2022-06-04,1E0,7,57_119,6596,2
2022-06-06,1E0,12,34_50,6229,2
2022-06-06,1E0,17,83_85,6126,2
2022-06-06,1E0,18,58_119,5893,2
2022-06-07,1E0,3,44_107,6857,2
2022-06-07,1E0,5,17_117,6794,2
2022-06-07,1E0,11,13_47,6373,2
2022-06-08,1E0,16,10,5824,1
2022-06-09,1E0,6,8_60,6697,2
2022-06-09,1E0,7,9_94,6681,2
2022-06-09,1E0,15,60,5719,1
2022-06-10,1E0,1,36_106,6935,2
2022-06-11,1E0,16,17_19_63_65,6223,4
2022-06-11,1E0,17,10_70,5872,2
2022-06-13,1E0,6,6_30_64,6782,3
2022-06-13,1E0,13,27_87_111,6269,3
2022-06-13,1E0,15,55,5737,1
2022-06-17,1E0,14,54_60_76,6332,3
2022-06-18,1E0,1,40_58,7065,2
2022-06-18,1E0,18,17_104,6096,2
2022-06-20,1E0,4,56_117,6919,2
2022-06-20,1E0,9,17_31_115,6785,3
2022-06-22,1E0,19,8_17_33,6284,3
2022-06-24,1E0,7,4_51_52,6931,3
2022-06-25,1E0,1,6_28_81,7193,3
2022-06-25,1E0,2,40_109,7338,2
2022-06-29,1E0,6,2_21_104,7032,3
2022-07-05,1E0,8,10_43_113,6958,3
2022-07-05,1E0,13,27_41_117,6552,3
2022-07-05,1E0,14,51_70_121,6521,3
2022-07-05,1E0,15,10_105,6010,2
2022-07-06,1E0,8,28_43,6377,2
2022-07-06,1E0,18,8_77_97,7857,3
2022-07-07,1E0,3,96_119_120,7288,3
2022-07-07,1E0,12,9_106_117,6670,3
2022-07-08,1E0,5,83_101_103,7273,3
2022-07-12,1E0,17,10_41_91,6608,3
2022-07-16,1E0,6,15_25_79,7174,3
2022-07-19,1E0,3,65_70_81,7409,3
2022-07-30,1E0,1,32_68_92,7477,3
2022-07-30,1E0,15,23_66,6211,2
2022-07-30,1E0,16,32_89,6354,2
2022-08-05,1E0,7,21_96_109,7279,3
2022-08-05,1E0,8,10_100_110,7220,3
2022-08-05,1E0,11,27_30_32_78,7005,4
2022-08-05,1E0,13,21_30_58,6795,3
2022-08-05,1E0,14,73_77_98,6776,3
2022-08-06,1E0,18,11_28_51,6565,3
2022-08-10,1E0,1,20_25_78,7651,3
2022-08-10,1E0,12,87_93_102,7520,3
2022-08-13,1E0,2,53_81_115,7715,3
2022-08-22,1E0,15,69_78_83,6369,3
2022-08-26,1E0,11,25_72_89,7128,3
2022-08-27,1E0,7,96_115,7434,2
2022-08-30,1E0,1,3_76_100,7713,3
2022-08-31,1E0,9,49_81_109,7404,3
