,date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,water_volumn,Temperature_A,Temperature_B,lamp_special_rartio,power(other),power(lamp_1_2_60_61_62_63_121_122),power_count,anomaly_total_number
0,2021-12-27,1C0,3,45_91,4699,11.0,24.45,24.6,0.0,57.5,61.5,57.5,2
1,2022-01-04,1C0,1,9_81,4878,11.0,23.65,23.5,0.0,57.5,61.5,57.5,2
2,2022-01-09,1C0,11,98_97,4598,12.0,25.2,25.45,0.0,57.5,61.5,57.5,2
3,2022-01-14,1C0,5,27_45,4973,11.0,24.9,24.85,0.0,57.5,61.5,57.5,2
4,2022-01-14,1C0,12,46_80,4930,12.0,27.2,26.2,0.0,57.5,61.5,57.5,2
5,2022-01-17,1C0,2,67_72,5420,11.0,24.0,24.15,0.0,59.5,63.5,59.5,2
6,2022-01-17,1C0,3,81_120,5095,11.0,24.45,24.6,0.0,59.5,63.5,59.5,2
7,2022-01-25,1C0,1,12,5279,11.0,23.65,23.5,0.0,59.5,63.5,59.5,1
8,2022-01-29,1C0,1,25,5312,11.0,23.65,23.5,0.0,59.5,63.5,59.5,1
9,2022-01-29,1C0,6,47_121,5534,11.0,24.8,25.299999999999997,0.5,61.5,65.5,63.5,2
10,2022-01-29,1C0,8,11_102,5380,10.5,24.7,25.2,0.0,59.5,63.5,59.5,2
11,2022-01-29,1C0,19,69,5061,12.0,27.2,25.0,0.0,59.5,63.5,59.5,1
12,2022-02-03,1C0,1,41_74,5414,11.0,23.65,23.5,0.0,59.5,63.5,59.5,2
13,2022-02-03,1C0,2,59_26,5758,11.0,24.0,24.15,0.0,61.5,65.5,61.5,2
14,2022-02-03,1C0,4,30_33,5685,11.0,24.25,24.6,0.0,61.5,65.5,61.5,2
15,2022-02-10,1C0,1,15,5497,11.0,23.65,23.5,0.0,59.5,63.5,59.5,1
16,2022-02-10,1C0,2,108_47,5861,11.0,24.0,24.15,0.0,61.5,65.5,61.5,2
17,2022-02-10,1C0,5,58_105,5403,11.0,24.9,24.85,0.0,59.5,63.5,59.5,2
18,2022-02-10,1C0,9,68_121,5484,11.0,25.15,25.299999999999997,0.5,59.5,63.5,61.5,2
19,2022-02-10,1C0,19,65,5280,12.0,27.2,25.0,0.0,59.5,63.5,59.5,1
20,2022-02-11,1C0,10,103_100,5457,12.0,25.4,25.65,0.0,59.5,63.5,59.5,2
21,2022-02-17,1C0,1,6_19,5520,11.0,23.65,23.5,0.0,61.5,65.5,61.5,2
22,2022-02-17,1C0,4,78_98,5949,11.0,24.25,24.6,0.0,61.5,65.5,61.5,2
23,2022-02-17,1C0,6,49_89,5815,11.0,24.8,25.299999999999997,0.0,61.5,65.5,61.5,2
24,2022-02-17,1C0,7,25_92,5848,11.0,24.5,25.2,0.0,61.5,65.5,61.5,2
25,2022-02-17,1C0,11,39_89,5374,12.0,25.2,25.45,0.0,59.5,63.5,59.5,2
26,2022-02-27,1C0,1,80_116,5601,11.0,23.65,23.5,0.0,61.5,65.5,61.5,2
27,2022-03-04,1C0,4,14_24,6177,11.0,24.25,24.6,0.0,63.5,67.5,63.5,2
28,2022-03-04,1C0,18,107_116,5731,12.0,27.15,25.5,0.0,61.5,65.5,61.5,2
29,2022-03-07,1C0,4,8_96,6214,11.0,24.25,24.6,0.0,63.5,67.5,63.5,2
30,2022-03-07,1C0,7,27_65,6198,11.0,24.5,25.2,0.0,63.5,67.5,63.5,2
31,2022-03-07,1C0,11,6_87,5722,12.0,25.2,25.45,0.0,61.5,65.5,61.5,2
32,2022-03-15,1C0,1,42_93,6532,11.0,23.65,23.5,0.0,65.5,69.5,65.5,2
33,2022-03-15,1C0,2,85_92,5891,11.0,24.0,24.15,0.0,61.5,65.5,61.5,2
34,2022-03-21,1C0,6,50_51,6456,11.0,24.8,25.299999999999997,0.0,63.5,67.5,63.5,2
35,2022-03-21,1C0,9,47_92,6264,11.0,25.15,25.299999999999997,0.0,63.5,67.5,63.5,2
36,2022-03-23,1C0,1,105,6052,11.0,23.65,23.5,0.0,63.5,67.5,63.5,1
37,2022-03-26,1C0,1,54_121,6054,11.0,23.65,23.5,0.5,63.5,67.5,65.5,2
38,2022-03-26,1C0,4,76_83,6622,11.0,24.25,24.6,0.0,65.5,69.5,65.5,2
39,2022-03-26,1C0,5,121_98,6216,11.0,24.9,24.85,0.5,63.5,67.5,65.5,2
40,2022-03-26,1C0,12,77_81,6329,12.0,27.2,26.2,0.0,63.5,67.5,63.5,2
41,2022-03-28,1C0,3,47_89,6850,11.0,24.45,24.6,0.0,65.5,69.5,65.5,2
42,2022-03-28,1C0,6,117_106,6610,11.0,24.8,25.299999999999997,0.0,65.5,69.5,65.5,2
43,2022-03-28,1C0,11,15_111,6174,12.0,25.2,25.45,0.0,63.5,67.5,63.5,2
44,2022-03-31,1C0,1,55_57,6157,11.0,23.65,23.5,0.0,63.5,67.5,63.5,2
45,2022-03-31,1C0,8,84_96,6627,10.5,24.7,25.2,0.0,65.5,69.5,65.5,2
46,2022-04-03,1C0,1,68_76,6194,11.0,23.65,23.5,0.0,63.5,67.5,63.5,2
47,2022-04-03,1C0,10,41_98,6492,12.0,25.4,25.65,0.0,63.5,67.5,63.5,2
48,2022-04-03,1C0,13,42,6497,12.0,28.65,27.75,0.0,63.5,67.5,63.5,1
49,2022-04-09,1C0,14,21_58,6520,12.0,29.3,27.950000000000003,0.0,65.5,69.5,65.5,2
50,2022-04-11,1C0,6,28_38,6828,11.0,24.8,25.299999999999997,0.0,65.5,69.5,65.5,2
51,2022-04-11,1C0,8,6_49,6788,10.5,24.7,25.2,0.0,65.5,69.5,65.5,2
52,2022-04-16,1C0,5,119_106,7178,11.0,24.9,24.85,0.0,70.5,74.5,70.5,2
53,2022-04-16,1C0,7,76_4,6962,11.0,24.5,25.2,0.0,65.5,69.5,65.5,2
54,2022-04-18,1C0,1,17_104,6432,11.0,23.65,23.5,0.0,63.5,67.5,63.5,2
55,2022-04-18,1C0,3,41_79,6874,11.0,24.45,24.6,0.0,65.5,69.5,65.5,2
56,2022-04-18,1C0,4,81_119,715,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
57,2022-04-18,1C0,11,13_116,6532,12.0,25.2,25.45,0.0,65.5,69.5,65.5,2
58,2022-04-18,1C0,13,89,6716,12.0,28.65,27.75,0.0,65.5,69.5,65.5,1
59,2022-04-18,1C0,15,81_98,6629,12.0,29.25,27.6,0.0,65.5,69.5,65.5,2
60,2022-04-20,1C0,1,75_36,6467,11.0,23.65,23.5,0.0,63.5,67.5,63.5,2
61,2022-04-20,1C0,2,83_113,7184,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
62,2022-04-22,1C0,1,72_89,6479,11.0,23.65,23.5,0.0,63.5,67.5,63.5,2
63,2022-04-22,1C0,18,49_113,6604,12.0,27.15,25.5,0.0,65.5,69.5,65.5,2
64,2022-04-24,1C0,2,70_76,7253,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
65,2022-04-24,1C0,17,6_25,6731,12.0,26.85,25.65,0.0,65.5,69.5,65.5,2
66,2022-04-26,1C0,14,66_26,6844,12.0,29.3,27.950000000000003,0.0,65.5,69.5,65.5,2
67,2022-04-28,1C0,2,100_114,7317,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
68,2022-04-28,1C0,6,69_76,7075,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
69,2022-04-28,1C0,10,48_89,6885,12.0,25.4,25.65,0.0,65.5,69.5,65.5,2
70,2022-04-29,1C0,11,38_24,6713,12.0,25.2,25.45,0.0,65.5,69.5,65.5,2
71,2022-05-02,1C0,1,109,6633,11.0,23.65,23.5,0.0,65.5,69.5,65.5,1
72,2022-05-02,1C0,3,15_117,7129,11.0,24.45,24.6,0.0,70.5,74.5,70.5,2
73,2022-05-02,1C0,4,43_74,7261,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
74,2022-05-02,1C0,7,30_53,7225,11.0,24.5,25.2,0.0,70.5,74.5,70.5,2
75,2022-05-02,1C0,8,68_97,7107,10.5,24.7,25.2,0.0,70.5,74.5,70.5,2
76,2022-05-02,1C0,10,67,6942,12.0,25.4,25.65,0.0,65.5,69.5,65.5,1
77,2022-05-04,1C0,11,10_23,6815,12.0,25.2,25.45,0.0,65.5,69.5,65.5,2
78,2022-05-04,1C0,12,20_37,7035,12.0,27.2,26.2,0.0,70.5,74.5,70.5,2
79,2022-05-06,1C0,1,34_50,6691,11.0,23.65,23.5,0.0,65.5,69.5,65.5,2
80,2022-05-06,1C0,3,98_104,7483,11.0,24.45,24.6,0.0,70.5,74.5,70.5,2
81,2022-05-06,1C0,5,72_104,7540,11.0,24.9,24.85,0.0,70.5,74.5,70.5,2
82,2022-05-06,1C0,6,73_107,7236,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
83,2022-05-09,1C0,2,42_74,7506,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
84,2022-05-09,1C0,10,100_117,7009,12.0,25.4,25.65,0.0,70.5,74.5,70.5,2
85,2022-05-11,1C0,4,26_92,7425,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
86,2022-05-11,1C0,15,8_60,7029,12.0,29.25,27.6,0.5,70.5,74.5,72.5,2
87,2022-05-13,1C0,5,87,7639,11.0,24.9,24.85,0.0,70.5,74.5,70.5,1
88,2022-05-13,1C0,11,12_21,6956,12.0,25.2,25.45,0.0,65.5,69.5,65.5,2
89,2022-05-13,1C0,12,34_98,7174,12.0,27.2,26.2,0.0,70.5,74.5,70.5,2
90,2022-05-13,1C0,14,14_19,7145,12.0,29.3,27.950000000000003,0.0,70.5,74.5,70.5,2
91,2022-05-15,1C0,13,12,7212,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
92,2022-05-15,1C0,14,51,7180,12.0,29.3,27.950000000000003,0.0,70.5,74.5,70.5,1
93,2022-05-16,1C0,1,77_92,6868,11.0,23.65,23.5,0.0,65.5,69.5,65.5,2
94,2022-05-16,1C0,2,87_102,7637,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
95,2022-05-16,1C0,13,91,7226,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
96,2022-05-17,1C0,16,102_117,7229,12.0,27.3,26.35,0.0,70.5,74.5,70.5,2
97,2022-05-18,1C0,3,6_117,7428,11.0,24.45,24.6,0.0,70.5,74.5,70.5,2
98,2022-05-18,1C0,13,100,7231,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
99,2022-05-19,1C0,1,30,6916,11.0,23.65,23.5,0.0,65.5,69.5,65.5,1
100,2022-05-19,1C0,11,21_117,7070,12.0,25.2,25.45,0.0,70.5,74.5,70.5,2
101,2022-05-19,1C0,18,4_24,7099,12.0,27.15,25.5,0.0,70.5,74.5,70.5,2
102,2022-05-19,1C0,19,12,7080,12.0,27.2,25.0,0.0,70.5,74.5,70.5,1
103,2022-05-21,1C0,1,28_79,6951,11.0,23.65,23.5,0.0,65.5,69.5,65.5,2
104,2022-05-21,1C0,4,45_82,7616,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
105,2022-05-21,1C0,5,41,7797,11.0,24.9,24.85,0.0,70.5,74.5,70.5,1
106,2022-05-21,1C0,6,6_66,7509,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
107,2022-05-21,1C0,15,65,7208,12.0,29.25,27.6,0.0,70.5,74.5,70.5,1
108,2022-05-23,1C0,3,26_36,7504,11.0,24.45,24.6,0.0,70.5,74.5,70.5,2
109,2022-05-23,1C0,5,63_68,7836,11.0,24.9,24.85,0.5,70.5,74.5,72.5,2
110,2022-05-23,1C0,8,119,7466,10.5,24.7,25.2,0.0,70.5,74.5,70.5,1
111,2022-05-23,1C0,17,26_66,7253,12.0,26.85,25.65,0.0,70.5,74.5,70.5,2
112,2022-05-24,1C0,6,110_116,7556,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
113,2022-05-25,1C0,1,10_13,7015,11.0,23.65,23.5,0.0,70.5,74.5,70.5,2
114,2022-05-25,1C0,4,20_25,7690,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
115,2022-05-25,1C0,8,78,7499,10.5,24.7,25.2,0.0,70.5,74.5,70.5,1
116,2022-05-25,1C0,13,102,7349,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
117,2022-05-26,1C0,2,56_58,7815,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
118,2022-05-26,1C0,18,2_96,7214,12.0,27.15,25.5,0.5,70.5,74.5,72.5,2
119,2022-05-28,1C0,1,46,7079,11.0,23.65,23.5,0.0,70.5,74.5,70.5,1
120,2022-05-28,1C0,9,38_79,7540,11.0,25.15,25.299999999999997,0.0,70.5,74.5,70.5,2
121,2022-05-29,1C0,13,56,7412,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
122,2022-05-30,1C0,4,40_73,7787,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
123,2022-05-30,1C0,15,47_106,7368,12.0,29.25,27.6,0.0,70.5,74.5,70.5,2
124,2022-05-31,1C0,3,21_94_120,7654,11.0,24.45,24.6,0.0,70.5,74.5,70.5,3
125,2022-05-31,1C0,5,17_31,7983,11.0,24.9,24.85,0.0,70.5,74.5,70.5,2
126,2022-05-31,1C0,7,42_66,7789,11.0,24.5,25.2,0.0,70.5,74.5,70.5,2
127,2022-05-31,1C0,9,24_106,7588,11.0,25.15,25.299999999999997,0.0,70.5,74.5,70.5,2
128,2022-05-31,1C0,10,47_78,7420,12.0,25.4,25.65,0.0,70.5,74.5,70.5,2
129,2022-05-31,1C0,17,4_21,7389,12.0,26.85,25.65,0.0,70.5,74.5,70.5,2
130,2022-06-01,1C0,14,55_68,7446,12.0,29.3,27.950000000000003,0.0,70.5,74.5,70.5,2
131,2022-06-02,1C0,9,28_41,7610,11.0,25.15,25.299999999999997,0.0,70.5,74.5,70.5,2
132,2022-06-02,1C0,12,52_77,7556,12.0,27.2,26.2,0.0,70.5,74.5,70.5,2
133,2022-06-02,1C0,13,113,7482,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
134,2022-06-04,1C0,2,10_16,7971,11.0,24.0,24.15,0.0,70.5,74.5,70.5,2
135,2022-06-06,1C0,1,107,7247,11.0,23.65,23.5,0.0,70.5,74.5,70.5,1
136,2022-06-06,1C0,4,65_120,7899,11.0,24.25,24.6,0.0,70.5,74.5,70.5,2
137,2022-06-06,1C0,8,21,7706,10.5,24.7,25.2,0.0,70.5,74.5,70.5,1
138,2022-06-06,1C0,14,9_49,7584,12.0,29.3,27.950000000000003,0.0,70.5,74.5,70.5,2
139,2022-06-06,1C0,17,43_108,7475,12.0,26.85,25.65,0.0,70.5,74.5,70.5,2
140,2022-06-07,1C0,1,22_69,7267,11.0,23.65,23.5,0.0,70.5,74.5,70.5,2
141,2022-06-07,1C0,13,92,7561,12.0,28.65,27.75,0.0,70.5,74.5,70.5,1
142,2022-06-08,1C0,6,34_98,7842,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
143,2022-06-09,1C0,13,7_53,7595,12.0,28.65,27.75,0.0,70.5,74.5,70.5,2
144,2022-06-10,1C0,7,31,7983,11.0,24.5,25.2,0.0,70.5,74.5,70.5,1
145,2022-06-10,1C0,16,17,7554,12.0,27.3,26.35,0.0,70.5,74.5,70.5,1
146,2022-06-10,1C0,18,21_122,7501,12.0,27.15,25.5,0.5,70.5,74.5,72.5,2
147,2022-06-10,1C0,19,76,7487,12.0,27.2,25.0,0.0,70.5,74.5,70.5,1
148,2022-06-11,1C0,2,19_43,8123,11.0,24.0,24.15,0.0,75.5,79.5,75.5,2
149,2022-06-11,1C0,5,117,8221,11.0,24.9,24.85,0.0,75.5,79.5,75.5,1
150,2022-06-11,1C0,15,23_68,7611,12.0,29.25,27.6,0.0,70.5,74.5,70.5,2
151,2022-06-11,1C0,17,17_55,7565,12.0,26.85,25.65,0.0,70.5,74.5,70.5,2
152,2022-06-14,1C0,3,58_116,7911,11.0,24.45,24.6,0.0,70.5,74.5,70.5,2
153,2022-06-14,1C0,6,78_102,7955,11.0,24.8,25.299999999999997,0.0,70.5,74.5,70.5,2
154,2022-06-14,1C0,7,11_60,8052,11.0,24.5,25.2,0.5,75.5,79.5,77.5,2
