,date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,water_volumn,Temperature_A,Temperature_B,lamp_special_rartio,power(other),power(lamp_1_2_60_61_62_63_121_122),power_count,anomaly_total_number
0,2021-12-27,1E0,1,96,4138,12.0,24.45,25.0,0.0,55.5,59.5,55.5,1
1,2021-12-27,1E0,8,51,3818,11.5,25.8,25.9,0.0,55.0,59.0,55.0,1
2,2022-01-09,1E0,11,47_91,3646,11.0,25.55,25.85,0.0,54.5,58.5,54.5,2
3,2022-01-17,1E0,2,83,4378,12.0,24.45,25.6,0.0,55.5,59.5,55.5,1
4,2022-01-17,1E0,16,100,3636,11.0,25.85,25.799999999999997,0.0,54.5,58.5,54.5,1
5,2022-01-25,1E0,4,104_107,4342,12.0,25.75,25.0,0.0,55.5,59.5,55.5,2
6,2022-01-25,1E0,13,76_90,3862,11.0,25.55,26.1,0.0,55.0,59.0,55.0,2
7,2022-01-25,1E0,16,37,3679,11.0,25.85,25.799999999999997,0.0,54.5,58.5,54.5,1
8,2022-02-10,1E0,18,33_103_106,3909,11.0,25.5,24.65,0.0,55.0,59.0,55.0,3
9,2022-02-11,1E0,11,32,4279,11.0,25.55,25.85,0.0,55.5,59.5,55.5,1
10,2022-02-17,1E0,13,106,4239,11.0,25.55,26.1,0.0,55.5,59.5,55.5,1
11,2022-02-17,1E0,15,15,3751,11.0,26.3,26.1,0.0,54.5,58.5,54.5,1
12,2022-02-17,1E0,16,21_30,4030,11.0,25.85,25.799999999999997,0.0,55.5,59.5,55.5,2
13,2022-02-19,1E0,16,39,4058,11.0,25.85,25.799999999999997,0.0,55.5,59.5,55.5,1
14,2022-02-27,1E0,1,55_82_85,5118,12.0,24.45,25.0,0.0,59.5,63.5,59.5,3
15,2022-02-27,1E0,4,50_102,4899,12.0,25.75,25.0,0.0,57.5,61.5,57.5,2
16,2022-02-27,1E0,8,45_104,4721,11.5,25.8,25.9,0.0,57.5,61.5,57.5,2
17,2022-03-04,1E0,12,94_108,4659,11.0,25.6,26.25,0.0,57.5,61.5,57.5,2
18,2022-03-04,1E0,19,23_94,4398,11.0,25.2,23.8,0.0,55.5,59.5,55.5,2
19,2022-03-07,1E0,14,21_55,4577,11.0,26.05,25.5,0.0,57.5,61.5,57.5,2
20,2022-03-10,1E0,16,92,4424,11.0,25.85,25.799999999999997,0.0,57.5,61.5,57.5,1
21,2022-03-10,1E0,18,35_87,4412,11.0,25.5,24.65,0.0,57.5,61.5,57.5,2
