,date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,water_volumn,Temperature_A,Temperature_B,lamp_special_rartio,power(other),power(lamp_1_2_60_61_62_63_121_122),power_count,anomaly_total_number
0,2022-01-17,2B0,6,28,2984,10.0,23.55,23.7,0.0,52.5,56.5,52.5,1
1,2022-01-17,2B0,7,29_36,3567,10.0,23.6,24.35,0.0,54.0,58.0,54.0,2
2,2022-02-03,2B0,7,58_78_121,3748,10.0,23.6,24.35,0.3333333333333333,54.5,58.5,55.833333333333336,3
3,2022-02-17,2B0,1,29_79_62,4368,10.0,22.4,22.5,0.3333333333333333,55.5,59.5,56.83333333333334,3
4,2022-02-17,2B0,8,29_83_117,4296,10.0,23.35,24.25,0.0,55.5,59.5,55.5,3
5,2022-02-17,2B0,9,15_29_41,4226,10.5,23.15,24.0,0.0,55.5,59.5,55.5,3
6,2022-02-17,2B0,11,29_84,3780,11.0,23.2,23.95,0.0,54.5,58.5,54.5,2
7,2022-02-17,2B0,16,29_56_94,3920,11.0,22.799999999999997,22.65,0.0,55.0,59.0,55.0,3
8,2022-02-17,2B0,19,27_29_74,4010,11.0,22.9,25.9,0.0,55.5,59.5,55.5,3
9,2022-02-19,2B0,15,69,2527,11.0,22.799999999999997,22.65,0.0,51.5,55.5,51.5,1
10,2022-02-27,2B0,13,29_55_77,3941,11.0,23.0,23.3,0.0,55.0,59.0,55.0,3
11,2022-03-04,2B0,10,29_74_107,4396,11.0,23.1,23.9,0.0,55.5,59.5,55.5,3
12,2022-03-07,2B0,14,49_117,4525,11.0,22.7,23.1,0.0,57.5,61.5,57.5,2
13,2022-03-15,2B0,6,6,4107,10.0,23.55,23.7,0.0,55.5,59.5,55.5,1
14,2022-03-15,2B0,17,48_51,4551,11.0,22.65,22.7,0.0,57.5,61.5,57.5,2
15,2022-03-21,2B0,1,30_86,4962,10.0,22.4,22.5,0.0,57.5,61.5,57.5,2
16,2022-03-26,2B0,17,117_4_29,4707,11.0,22.65,22.7,0.0,57.5,61.5,57.5,3
17,2022-03-31,2B0,11,51_82,4542,11.0,23.2,23.95,0.0,57.5,61.5,57.5,2
18,2022-04-01,2B0,16,29,4709,11.0,22.799999999999997,22.65,0.0,57.5,61.5,57.5,1
19,2022-04-03,2B0,16,33_96,4725,11.0,22.799999999999997,22.65,0.0,57.5,61.5,57.5,2
20,2022-04-03,2B0,18,26_29_56,4983,11.0,22.75,24.299999999999997,0.0,57.5,61.5,57.5,3
21,2022-04-07,2B0,8,54_118,5165,10.0,23.35,24.25,0.0,59.5,63.5,59.5,2
22,2022-04-07,2B0,12,34_92,4939,11.0,23.1,23.5,0.0,57.5,61.5,57.5,2
23,2022-04-07,2B0,14,29_51_85,5109,11.0,22.7,23.1,0.0,59.5,63.5,59.5,3
24,2022-04-09,2B0,3,1_29,5395,10.0,23.25,22.95,0.5,59.5,63.5,61.5,2
25,2022-04-14,2B0,4,18_29_115,5354,10.0,23.55,22.799999999999997,0.0,59.5,63.5,59.5,3
26,2022-04-20,2B0,12,66_77_75,5168,11.0,23.1,23.5,0.0,59.5,63.5,59.5,3
27,2022-04-24,2B0,9,67_72_60,5431,10.5,23.15,24.0,0.3333333333333333,59.5,63.5,60.833333333333336,3
28,2022-04-26,2B0,2,18_111,5679,10.0,23.0,22.95,0.0,61.5,65.5,61.5,2
29,2022-04-29,2B0,19,25_78_80,5252,11.0,22.9,25.9,0.0,59.5,63.5,59.5,3
30,2022-05-02,2B0,3,2_113,5818,10.0,23.25,22.95,0.5,61.5,65.5,63.5,2
31,2022-05-06,2B0,6,8_15,5298,10.0,23.55,23.7,0.0,59.5,63.5,59.5,2
32,2022-05-06,2B0,11,1,5205,11.0,23.2,23.95,1.0,59.5,63.5,63.5,1
33,2022-05-09,2B0,11,13_49,5205,11.0,23.2,23.95,0.0,59.5,63.5,59.5,2
34,2022-05-11,2B0,14,28_29_51,5762,11.0,22.7,23.1,0.0,61.5,65.5,61.5,3
35,2022-05-13,2B0,8,97_115,5845,10.0,23.35,24.25,0.0,61.5,65.5,61.5,2
36,2022-05-18,2B0,9,13_41_43_69,5918,10.5,23.15,24.0,0.0,61.5,65.5,61.5,4
37,2022-05-23,2B0,2,29_64,6213,10.0,23.0,22.95,0.0,63.5,67.5,63.5,2
38,2022-05-23,2B0,3,43_111,6228,10.0,23.25,22.95,0.0,63.5,67.5,63.5,2
39,2022-05-23,2B0,10,76_103_105_109,5930,11.0,23.1,23.9,0.0,61.5,65.5,61.5,4
40,2022-05-23,2B0,15,79,4238,11.0,22.799999999999997,22.65,0.0,55.5,59.5,55.5,1
41,2022-05-26,2B0,5,34,6272,10.0,23.5,23.1,0.0,63.5,67.5,63.5,1
42,2022-06-01,2B0,2,74,6374,10.0,23.0,22.95,0.0,63.5,67.5,63.5,1
43,2022-06-07,2B0,1,12_64_76,6546,10.0,22.4,22.5,0.0,65.5,69.5,65.5,3
44,2022-06-07,2B0,4,30_89,6459,10.0,23.55,22.799999999999997,0.0,63.5,67.5,63.5,2
45,2022-06-07,2B0,12,28_31_34_36_60,6080,11.0,23.1,23.5,0.2,63.5,67.5,64.30000000000001,5
46,2022-06-07,2B0,13,58_86_96,5869,11.0,23.0,23.3,0.0,61.5,65.5,61.5,3
47,2022-06-07,2B0,15,86,4504,11.0,22.799999999999997,22.65,0.0,57.5,61.5,57.5,1
48,2022-06-08,2B0,5,51_77_49,6516,10.0,23.5,23.1,0.0,65.5,69.5,65.5,3
49,2022-06-08,2B0,11,73_87,5804,11.0,23.2,23.95,0.0,61.5,65.5,61.5,2
50,2022-06-09,2B0,4,31_37_119,6488,10.0,23.55,22.799999999999997,0.0,63.5,67.5,63.5,3
51,2022-06-09,2B0,19,42_44_103_105,6053,11.0,22.9,25.9,0.0,63.5,67.5,63.5,4
52,2022-06-11,2B0,7,29_30_49_85,6264,10.0,23.6,24.35,0.0,63.5,67.5,63.5,4
53,2022-06-13,2B0,3,41,6610,10.0,23.25,22.95,0.0,65.5,69.5,65.5,1
54,2022-06-13,2B0,13,25_27,5981,11.0,23.0,23.3,0.0,61.5,65.5,61.5,2
55,2022-06-16,2B0,16,35_83,6152,11.0,22.799999999999997,22.65,0.0,63.5,67.5,63.5,2
56,2022-06-17,2B0,2,34_119,6691,10.0,23.0,22.95,0.0,65.5,69.5,65.5,2
57,2022-06-17,2B0,18,107_121,6408,11.0,22.75,24.299999999999997,0.5,63.5,67.5,65.5,2
58,2022-06-20,2B0,11,70_65,6026,11.0,23.2,23.95,0.0,63.5,67.5,63.5,2
59,2022-06-20,2B0,12,24,6332,11.0,23.1,23.5,0.0,63.5,67.5,63.5,1
60,2022-06-22,2B0,5,30_36,6798,10.0,23.5,23.1,0.0,65.5,69.5,65.5,2
61,2022-06-23,2B0,13,60_66,6163,11.0,23.0,23.3,0.5,63.5,67.5,65.5,2
62,2022-06-27,2B0,5,72,6698,10.0,23.5,23.1,0.0,65.5,69.5,65.5,1
63,2022-06-27,2B0,14,76_104,6875,11.0,22.7,23.1,0.0,65.5,69.5,65.5,2
64,2022-07-06,2B0,5,96,6962,10.0,23.5,23.1,0.0,65.5,69.5,65.5,1
65,2022-07-06,2B0,15,76,5016,11.0,22.799999999999997,22.65,0.0,59.5,63.5,59.5,1
66,2022-07-07,2B0,7,16_60,6740,10.0,23.6,24.35,0.5,65.5,69.5,67.5,2
67,2022-07-07,2B0,13,29_111,6398,11.0,23.0,23.3,0.0,63.5,67.5,63.5,2
68,2022-07-08,2B0,4,56,7019,10.0,23.55,22.799999999999997,0.0,70.5,74.5,70.5,1
69,2022-07-08,2B0,14,26_109,6881,11.0,22.7,23.1,0.0,65.5,69.5,65.5,2
70,2022-07-08,2B0,17,58_83,6679,11.0,22.65,22.7,0.0,65.5,69.5,65.5,2
71,2022-07-12,2B0,3,92_106,2117,10.0,23.25,22.95,0.0,50.5,54.5,50.5,2
72,2022-07-12,2B0,16,47_87,6589,11.0,22.799999999999997,22.65,0.0,65.5,69.5,65.5,2
73,2022-07-25,2B0,10,28_29_47,7053,11.0,23.1,23.9,0.0,70.5,74.5,70.5,3
74,2022-07-27,2B0,14,80_94,7151,11.0,22.7,23.1,0.0,70.5,74.5,70.5,2
75,2022-07-27,2B0,16,23_50,6794,11.0,22.799999999999997,22.65,0.0,65.5,69.5,65.5,2
76,2022-08-03,2B0,3,94_102,7449,10.0,23.25,22.95,0.0,70.5,74.5,70.5,2
77,2022-08-03,2B0,5,24_66,6609,10.0,23.5,23.1,0.0,65.5,69.5,65.5,2
78,2022-08-03,2B0,11,76,6658,11.0,23.2,23.95,0.0,65.5,69.5,65.5,1
79,2022-08-03,2B0,18,89_101,7132,11.0,22.75,24.299999999999997,0.0,70.5,74.5,70.5,2
80,2022-08-05,2B0,4,91_92,7433,10.0,23.55,22.799999999999997,0.0,70.5,74.5,70.5,2
81,2022-08-08,2B0,7,31_57_91,7433,10.0,23.6,24.35,0.0,70.5,74.5,70.5,3
82,2022-08-08,2B0,14,23_42_68,7206,11.0,22.7,23.1,0.0,70.5,74.5,70.5,3
83,2022-08-08,2B0,17,80_81,7304,11.0,22.65,22.7,0.0,70.5,74.5,70.5,2
84,2022-08-13,2B0,1,11_51_74,7692,10.0,22.4,22.5,0.0,70.5,74.5,70.5,3
85,2022-08-13,2B0,3,13_105,7594,10.0,23.25,22.95,0.0,70.5,74.5,70.5,2
86,2022-08-13,2B0,5,7_94_108,7549,10.0,23.5,23.1,0.0,70.5,74.5,70.5,3
87,2022-08-19,2B0,2,15_103,7716,10.0,23.0,22.95,0.0,70.5,74.5,70.5,2
88,2022-08-19,2B0,15,67,5662,11.0,22.799999999999997,22.65,0.0,61.5,65.5,61.5,1
89,2022-08-22,2B0,16,29_60,7157,11.0,22.799999999999997,22.65,0.5,70.5,74.5,72.5,2
90,2022-08-24,2B0,1,8_27_85,7800,10.0,22.4,22.5,0.0,70.5,74.5,70.5,3
91,2022-08-26,2B0,6,11_21_23_29,6977,10.0,23.55,23.7,0.0,65.5,69.5,65.5,4
92,2022-08-26,2B0,7,17_87_104,7497,10.0,23.6,24.35,0.0,70.5,74.5,70.5,3
93,2022-08-29,2B0,5,38_64,7778,10.0,23.5,23.1,0.0,70.5,74.5,70.5,2
94,2022-08-29,2B0,16,53_79,7263,11.0,22.799999999999997,22.65,0.0,70.5,74.5,70.5,2
95,2022-08-29,2B0,19,34_57,7320,11.0,22.9,25.9,0.0,70.5,74.5,70.5,2
96,2022-08-31,2B0,1,13_15_39_46,7957,10.0,22.4,22.5,0.0,70.5,74.5,70.5,4
97,2022-09-03,2B0,2,22_105,7962,10.0,23.0,22.95,0.0,70.5,74.5,70.5,2
98,2022-09-03,2B0,3,43_60,7905,10.0,23.25,22.95,0.5,70.5,74.5,72.5,2
99,2022-09-03,2B0,11,76,7168,11.0,23.2,23.95,0.0,70.5,74.5,70.5,1
100,2022-09-03,2B0,12,8,7492,11.0,23.1,23.5,0.0,70.5,74.5,70.5,1
101,2022-09-05,2B0,11,29_90_121,7519,11.0,23.2,23.95,0.3333333333333333,70.5,74.5,71.83333333333334,3
102,2022-09-05,2B0,12,13_96,7510,11.0,23.1,23.5,0.0,70.5,74.5,70.5,2
103,2022-09-07,2B0,10,29_31_39_58_60,7734,11.0,23.1,23.9,0.2,70.5,74.5,71.30000000000001,5
104,2022-09-07,2B0,13,100,7310,11.0,23.0,23.3,0.0,70.5,74.5,70.5,1
105,2022-09-09,2B0,14,83_87,7738,11.0,22.7,23.1,0.0,70.5,74.5,70.5,2
106,2022-09-12,2B0,1,24_74_84,8151,10.0,22.4,22.5,0.0,75.5,79.5,75.5,3
107,2022-09-12,2B0,8,54_59_62_64,7979,10.0,23.35,24.25,0.25,70.5,74.5,71.5,4
108,2022-09-12,2B0,13,74_76_100,7360,11.0,23.0,23.3,0.0,70.5,74.5,70.5,3
109,2022-09-12,2B0,17,27_60,7586,11.0,22.65,22.7,0.5,70.5,74.5,72.5,2
110,2022-09-14,2B0,18,25_41,7785,11.0,22.75,24.299999999999997,0.0,70.5,74.5,70.5,2
111,2022-09-16,2B0,4,6_66_119,7992,10.0,23.55,22.799999999999997,0.0,70.5,74.5,70.5,3
112,2022-09-16,2B0,7,52_96,7829,10.0,23.6,24.35,0.0,70.5,74.5,70.5,2
113,2022-09-16,2B0,14,49_113,7840,11.0,22.7,23.1,0.0,70.5,74.5,70.5,2
114,2022-09-20,2B0,2,25_43,8214,10.0,23.0,22.95,0.0,75.5,79.5,75.5,2
115,2022-09-20,2B0,3,41_120,8186,10.0,23.25,22.95,0.0,75.5,79.5,75.5,2
116,2022-09-20,2B0,5,68,8149,10.0,23.5,23.1,0.0,75.5,79.5,75.5,1
117,2022-09-20,2B0,11,25_43_118_120,7421,11.0,23.2,23.95,0.0,70.5,74.5,70.5,4
118,2022-09-20,2B0,15,69,6169,11.0,22.799999999999997,22.65,0.0,63.5,67.5,63.5,1
119,2022-09-20,2B0,16,21_60,7615,11.0,22.799999999999997,22.65,0.5,70.5,74.5,72.5,2
120,2022-09-23,2B0,8,59_92,8168,10.0,23.35,24.25,0.0,75.5,79.5,75.5,2
121,2022-10-19,2B0,2,18_36,8395,10.0,23.0,22.95,0.0,75.5,79.5,75.5,2
122,2022-10-19,2B0,4,94_103,8167,10.0,23.55,22.799999999999997,0.0,75.5,79.5,75.5,2
123,2022-10-19,2B0,13,32_55,7575,11.0,23.0,23.3,0.0,70.5,74.5,70.5,2
124,2022-10-19,2B0,14,83_106,7986,11.0,22.7,23.1,0.0,70.5,74.5,70.5,2
125,2022-10-19,2B0,15,66_93,6353,11.0,22.799999999999997,22.65,0.0,63.5,67.5,63.5,2
126,2022-10-19,2B0,16,22_29_36,7776,11.0,22.799999999999997,22.65,0.0,70.5,74.5,70.5,3
127,2022-10-20,2B0,11,15_120,7642,11.0,23.2,23.95,0.0,70.5,74.5,70.5,2
128,2022-10-27,2B0,4,90_91,8229,10.0,23.55,22.799999999999997,0.0,75.5,79.5,75.5,2
129,2022-10-27,2B0,8,50_104,8386,10.0,23.35,24.25,0.0,75.5,79.5,75.5,2
130,2022-10-27,2B0,9,29_58_113,6381,10.5,23.15,24.0,0.0,63.5,67.5,63.5,3
131,2022-10-27,2B0,15,29_88_92,6449,11.0,22.799999999999997,22.65,0.0,63.5,67.5,63.5,3
132,2022-10-28,2B0,5,29_43,8472,10.0,23.5,23.1,0.0,75.5,79.5,75.5,2
133,2022-10-28,2B0,13,119,7691,11.0,23.0,23.3,0.0,70.5,74.5,70.5,1
134,2022-11-02,2B0,4,52,8262,10.0,23.55,22.799999999999997,0.0,75.5,79.5,75.5,1
135,2022-11-02,2B0,10,60_76,8335,11.0,23.1,23.9,0.5,75.5,79.5,77.5,2
136,2022-11-02,2B0,12,68_102,8177,11.0,23.1,23.5,0.0,75.5,79.5,75.5,2
137,2022-11-02,2B0,14,89_115,8138,11.0,22.7,23.1,0.0,75.5,79.5,75.5,2
138,2022-11-02,2B0,17,47_70,8059,11.0,22.65,22.7,0.0,75.5,79.5,75.5,2
