,date,oven_id,layer_id,lamp_id,anomaly_accumulation_hour,water_volumn,Temperature_A,Temperature_B,lamp_special_rartio,power(other),power(lamp_1_2_60_61_62_63_121_122),power_count,anomaly_total_number
0,2022-02-17,2D0,11,40_43_50,3821,10.5,24.2,24.85,0.0,55.0,59.0,55.0,3
1,2022-02-19,2D0,4,3_78_111,3664,10.0,23.5,23.75,0.0,54.5,58.5,54.5,3
2,2022-03-31,2D0,1,30_32_49_84,4899,10.0,22.9,23.9,0.0,57.5,61.5,57.5,4
3,2022-04-09,2D0,11,38_115,4578,10.5,24.2,24.85,0.0,57.5,61.5,57.5,2
4,2022-04-18,2D0,11,54_119,4719,10.5,24.2,24.85,0.0,57.5,61.5,57.5,2
5,2022-04-20,2D0,4,102_107_45_73_71_109,5228,10.0,23.5,23.75,0.0,59.5,63.5,59.5,6
6,2022-04-24,2D0,7,14_94_108,5174,10.0,23.549999999999997,23.8,0.0,59.5,63.5,59.5,3
7,2022-04-26,2D0,2,86_88_93,5419,10.0,23.25,23.55,0.0,59.5,63.5,59.5,3
8,2022-05-24,2D0,13,14_41_90_92_103,5440,10.0,25.15,25.4,0.0,59.5,63.5,59.5,5
9,2022-05-28,2D0,18,73_101_107_121,5342,10.0,24.65,25.6,0.25,59.5,63.5,60.5,4
10,2022-05-31,2D0,1,17_21_82,6113,10.0,22.9,23.9,0.0,63.5,67.5,63.5,3
11,2022-06-08,2D0,4,55_85_104,6129,10.0,23.5,23.75,0.0,63.5,67.5,63.5,3
12,2022-07-07,2D0,15,50_63_98_100,6162,10.0,24.65,25.6,0.25,63.5,67.5,64.5,4
13,2022-07-07,2D0,17,9_72_109,5900,10.0,24.6,26.0,0.0,61.5,65.5,61.5,3
14,2022-07-23,2D0,18,19_60_92_103_105,6152,10.0,24.65,25.6,0.2,63.5,67.5,64.30000000000001,5
15,2022-07-25,2D0,5,52_74_79_81_83_85,6834,10.0,23.65,24.15,0.0,65.5,69.5,65.5,6
16,2022-07-27,2D0,11,17_19_26_94_119_121,6383,10.5,24.2,24.85,0.16666666666666666,63.5,67.5,64.16666666666667,6
17,2022-08-13,2D0,17,58_70_85,6249,10.0,24.6,26.0,0.0,63.5,67.5,63.5,3
18,2022-08-19,2D0,19,18_23_95_104_106,6410,10.0,25.1,25.2,0.0,63.5,67.5,63.5,5
19,2022-08-27,2D0,7,67_96,7137,10.0,23.549999999999997,23.8,0.0,70.5,74.5,70.5,2
20,2022-08-27,2D0,11,17_79,6665,10.5,24.2,24.85,0.0,65.5,69.5,65.5,2
21,2022-08-30,2D0,1,14_15_16_19_81,7455,10.0,22.9,23.9,0.0,70.5,74.5,70.5,5
22,2022-08-30,2D0,16,13_50_39_52_108,6673,10.0,24.65,25.65,0.0,65.5,69.5,65.5,5
23,2022-09-05,2D0,8,44_53_56,7244,10.0,23.7,23.65,0.0,70.5,74.5,70.5,3
