cooler_id,1B0,1C0,1D0,1E0,1G0,2B0,2C0,2D0,2E0,2G0
Slot1_water_volume,11,11,10,12,9,10,11,10,11,10
Slot2_water_volume,11,11,10,12,9,10,11,10,11,10
Slot3_water_volume,11,11,10,12,9,10,11,10,11,10
Slot4_water_volume,11,11,10,12,9,10,11,10,11,10
Slot5_water_volume,11,11,10,12,9,10,11,10,11,10
Slot6_water_volume,11,11,10,12,9,10,11,10,11,10
Slot7_water_volume,11,11,10,12,9,10,11,10,11,10
Slot8_water_volume,11,11,10,12,9,10,11,10,11,10
Slot9_water_volume,9,10,10,11,9,10,11,10,11,10
Slot10_water_volume,11,12,11,11,11,11,11,10,11,10
Slot11_water_volume,11,12,11,11,11,11,10,10,11,10
Slot12_water_volume,11,12,11,11,11,11,10,11,11,11
Slot13_water_volume,11,12,11,11,11,11,10,10,11,11
Slot14_water_volume,11,12,11,11,11,11,10,10,11,11
Slot15_water_volume,11,12,11,11,11,11,10,10,11,10
Slot16_water_volume,11,12,11,11,11,11,10,10,11,10
Slot17_water_volume,11,12,11,11,11,11,10,10,11,10
Slot18_water_volume,11,12,11,11,11,11,10,10,11,10
Slot19_water_volume,11,12,11,11,11,11,10,10,11,10
Slot20_water_volume,11,12,11,11,11,11,10,10,11,10
Slot1-10_in_temperature,20.3,22.8,22.6,19.7,21,20.1,19.5,19.6,20.9,21.2
Slot1-10_out_temperature,24.8,25.5,23.5,24,27.1,23.3,24.4,24.6,23.7,25.2
Slot11-20_in_temperature,20,23.4,19.5,19.8,22,21,19.5,19.9,21.1,21.1
Slot11-20_out_temperature,24.6,24.1,23.6,23.8,30.1,24.5,25.1,25.3,25.1,26.3
S01_A_temperature,23.3,24.2,23.8,24.9,26.6,22.2,24.3,22.8,22.3,22.7
S01_B_temperature,25.2,23,23.8,24,25.9,22.6,25.3,24.3,24.2,24.4
S02_A_temperature,24.2,23.1,22.9,24,25.4,22.6,23.5,23,21.6,22.6
S02_B_temperature,22.4,24,23.6,26,25.7,22.4,24.6,23.5,22.9,22.8
S03_A_temperature,23.5,24.9,24,24.9,24.8,23.4,24.4,23.5,23.2,23.4
S03_B_temperature,23.1,24.3,24.4,25.2,25.7,23.5,24.1,23.6,23.3,23
S04_A_temperature,24.8,24,24.1,25.4,25.7,23.1,23.6,23.5,22.5,23.5
S04_B_temperature,25.7,24.9,24.8,24.6,25,22.4,24.6,23.7,24,23.2
S05_A_temperature,25.1,24.5,25.6,26.1,25.6,24,23.9,23.5,24.1,23.6
S05_B_temperature,24.5,24.3,24.4,25.4,26,23.2,24.5,23.8,23.3,23.2
S06_A_temperature,24.8,25.3,25,25.4,26.3,23,24.2,23.8,22.9,23.3
S06_B_temperature,23.8,25.4,25,25.5,25.9,23,24.6,24.5,23.8,23.9
S07_A_temperature,25.1,24.3,25.2,25,26.1,24.1,24.3,23.4,24.2,23.8
S07_B_temperature,25.1,25.2,25.6,26.5,27.7,24.4,24.6,24,23.4,24
S08_A_temperature,25,24.7,25.7,26,27.1,23.1,24.1,23.7,23.6,23.6
S08_B_temperature,24.6,25.2,25,25.7,28.2,24.3,24.7,23.6,24.2,24.3
S09_A_temperature,27.9,24.7,24.5,25.6,28,23.6,24.9,23.7,23.7,23.8
S09_B_temperature,26.9,25.2,24.4,26.1,28.7,24.2,24.4,23.7,23.3,23.9
S10_A_temperature,26.1,25.6,27.4,25.1,29.5,22.7,25,23.9,23.9,24.7
S10_B_temperature,25.9,25.4,26.2,24.9,28.8,23.8,25,23.2,23.8,24.2
S11_A_temperature,29.6,25.2,26.3,25.5,29.3,23.5,25,24.4,24.1,24.7
S11_B_temperature,25.9,25.9,26.6,26.2,28.4,24,24.9,25.1,23.1,24.2
S12_A_temperature,26.9,25.2,27.4,25.6,29.4,22.9,25.1,24,24.5,24.8
S12_B_temperature,25.9,25,26.4,25.5,28.2,23.9,25.2,24.6,23.3,24.4
S13_A_temperature,27.7,29.2,27.5,25.6,28.9,23.3,25.2,25.3,24.2,24.2
S13_B_temperature,27,27.4,26.7,27,29.9,23.1,25.3,24.9,23.3,25.2
S14_A_temperature,27.7,28.1,26.5,25.5,29.3,22.7,25.2,25,24.3,24.6
S14_B_temperature,25.8,28.1,26.7,25.2,27.2,23.5,24.5,25.9,23.8,25.5
S15_A_temperature,26.2,30.5,26.6,26.6,28.5,22.7,25,25,24.1,23.3
S15_B_temperature,27,27.8,27.3,25.8,27.5,22.7,24.9,25.9,24.3,24.6
S16_A_temperature,26.9,28,25.4,26,27.9,22.9,24.7,24.3,24.4,24
S16_B_temperature,26.6,27.4,26,26.4,26.7,22.6,24.6,25.3,24.6,24.6
S17_A_temperature,30.9,26.6,27.1,25.7,28.7,22.7,25,25,23.8,23.5
S17_B_temperature,26.8,25.3,26.9,25.2,29.3,22.7,24.9,26,24.9,24.4
S18_A_temperature,25.6,27.1,25.9,25.8,29.5,22.6,24.9,24.2,23.7,22.7
S18_B_temperature,27.2,26,26.9,25.5,26.9,22.7,24.5,26,24.5,24
S19_A_temperature,26.9,27.2,27.5,25.2,29.5,22.9,23.6,25.1,24.4,24.9
S19_B_temperature,27.2,25,26.8,23.8,27,25.9,24.5,25.2,24.3,24.8
S20_A_temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20_B_temperature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
